,ConvertedCompYearly,LogSalary,YearsCodePro
count,21025.0,21025.0,21025.0
mean,78357.83529131986,10.841858946597647,9.849702734839477
std,61434.856770695136,1.1486017489198443,8.288703437381313
min,261.0,5.564520407322694,0.5
25%,34370.0,10.44493936984388,4.0
50%,65000.0,11.082142548877775,7.0
75%,107406.0,11.584371325418246,14.0
max,382164.0,12.853605114829247,50.0
