Model,MAE_log,RMSE_log,R2_log,MAE_USD,RMSE_USD
Extended Ridge Regression + TIOBE,0.5539103834110224,0.8748992130653842,0.4812351045836174,29946.40845118392,46476.5470140221
Baseline Ridge Regression,0.5554726434747489,0.878984963824753,0.4763785608024689,29988.649379496794,46419.792179368116
Baseline Random Forest,0.5652626260013721,0.8828913585630518,0.47171405031803726,30234.59391248618,45898.99977390478
Extended Random Forest + TIOBE,0.5656852525304457,0.8842885251515797,0.4700407130686902,30206.656626934746,46079.95440788638
